,index,subid,lure_or_no,is_high_arm,accuracy,dprime_lt_high,dprime_lt_low,dprime_lbst_high,dprime_lbst_low
0,522,A31A1PVXLJBISZ,lure,False,0.0625,0.47585963017992616,0.0,0.18292781427430682,0.5666989782508453
1,523,A31A1PVXLJBISZ,lure,True,0.25,0.47585963017992616,0.0,0.18292781427430682,0.5666989782508453
2,524,A31A1PVXLJBISZ,lure_but_seen,False,0.16666666666666666,0.47585963017992616,0.0,0.18292781427430682,0.5666989782508453
3,525,A31A1PVXLJBISZ,lure_but_seen,True,0.16666666666666666,0.47585963017992616,0.0,0.18292781427430682,0.5666989782508453
4,526,A31A1PVXLJBISZ,target,False,0.9375,0.47585963017992616,0.0,0.18292781427430682,0.5666989782508453
5,527,A31A1PVXLJBISZ,target,True,0.875,0.47585963017992616,0.0,0.18292781427430682,0.5666989782508453
0,528,A33XAJW8WGY3O9,lure,False,0.5,1.8248391305720895,0.0,0.24376245090062398,-0.4307272992954577
1,529,A33XAJW8WGY3O9,lure,True,0.875,1.8248391305720895,0.0,0.24376245090062398,-0.4307272992954577
2,530,A33XAJW8WGY3O9,lure_but_seen,False,0.3333333333333333,1.8248391305720895,0.0,0.24376245090062398,-0.4307272992954577
3,531,A33XAJW8WGY3O9,lure_but_seen,True,0.3333333333333333,1.8248391305720895,0.0,0.24376245090062398,-0.4307272992954577
4,532,A33XAJW8WGY3O9,target,False,0.5,1.8248391305720895,0.0,0.24376245090062398,-0.4307272992954577
5,533,A33XAJW8WGY3O9,target,True,0.75,1.8248391305720895,0.0,0.24376245090062398,-0.4307272992954577
0,534,A353XKDTUX10NC,lure,False,0.875,1.1503493803760079,1.468988744340383,-0.4307272992954577,0.7493666632598326
1,535,A353XKDTUX10NC,lure,True,0.875,1.1503493803760079,1.468988744340383,-0.4307272992954577,0.7493666632598326
2,536,A353XKDTUX10NC,lure_but_seen,False,0.6666666666666666,1.1503493803760079,1.468988744340383,-0.4307272992954577,0.7493666632598326
3,537,A353XKDTUX10NC,lure_but_seen,True,0.3333333333333333,1.1503493803760079,1.468988744340383,-0.4307272992954577,0.7493666632598326
4,538,A353XKDTUX10NC,target,False,0.625,1.1503493803760079,1.468988744340383,-0.4307272992954577,0.7493666632598326
5,539,A353XKDTUX10NC,target,True,0.5,1.1503493803760079,1.468988744340383,-0.4307272992954577,0.7493666632598326
0,540,A36GU3OHGLDS8R,lure,False,0.75,1.8248391305720895,0.0,0.18292781427430682,-0.6744897501960817
1,541,A36GU3OHGLDS8R,lure,True,0.75,1.8248391305720895,0.0,0.18292781427430682,-0.6744897501960817
2,542,A36GU3OHGLDS8R,lure_but_seen,False,0.5,1.8248391305720895,0.0,0.18292781427430682,-0.6744897501960817
3,543,A36GU3OHGLDS8R,lure_but_seen,True,0.16666666666666666,1.8248391305720895,0.0,0.18292781427430682,-0.6744897501960817
