,state1,stim_left,stim_right,rt_1,choice1,response1,rt_2,points,state2,stim_state2,stake,score,practice,rews1,rews2,background,high_arm,trial_type,trial_index,time_elapsed,internal_node_id,subid,stim_left_num,stim_right_num,high or low arm
17884,3,object_05,object_03,289.485,5,2,410.3999999,0.6666666666666666,1,object_06,1,3105,0,6,7,library_28,2,memory-2step-stake-s,708,3431483,0.0-18.0-0.1-0.220,3855,6,5,low
17885,2,object_09,object_07,608.445,3,1,496.85,0.3333333333333333,1,object_06,5,3120,0,3,7,forest_23,2,memory-2step-stake-s,709,3439517,0.0-18.0-0.1-0.221,3855,3,4,high
17886,1,object_08,object_01,536.53,1,2,660.895,0.2222222222222222,1,object_06,5,3130,0,2,7,desert_7,2,memory-2step-stake-s,710,3447604,0.0-18.0-0.1-0.222,3855,2,1,high
17887,1,object_01,object_08,375.92,1,1,430.03,0.2222222222222222,1,object_06,5,3140,0,2,7,desert_21,2,memory-2step-stake-s,711,3455473,0.0-18.0-0.1-0.223,3855,1,2,high
17888,3,object_03,object_05,443.32,6,2,593.535,1.0,2,object_04,1,3149,0,4,9,library_20,2,memory-2step-stake-s,712,3464213,0.0-18.0-0.1-0.224,3855,5,6,low
17889,4,object_10,object_02,340.1799999,8,1,388.4099999,0.8888888888888888,2,object_04,5,3189,0,5,8,restaurant_3,2,memory-2step-stake-s,713,3472652,0.0-18.0-0.1-0.225,3855,8,7,low
17890,4,object_10,object_02,277.945,7,2,379.36,1.0,1,object_06,1,3198,0,9,9,restaurant_8,2,memory-2step-stake-s,714,3481191,0.0-18.0-0.1-0.226,3855,8,7,low
17891,2,object_09,object_07,449.16,3,1,530.6749999,0.5555555555555556,1,object_06,5,3223,0,5,7,forest_28,2,memory-2step-stake-s,715,3489457,0.0-18.0-0.1-0.227,3855,3,4,high
17892,4,object_02,object_10,735.395,8,2,760.445,0.8888888888888888,2,object_04,1,3231,0,3,8,restaurant_32,2,memory-2step-stake-s,716,3498255,0.0-18.0-0.1-0.228,3855,7,8,low
17893,4,object_10,object_02,628.315,8,1,410.1099999,0.7777777777777778,2,object_04,1,3238,0,4,7,restaurant_30,2,memory-2step-stake-s,717,3506617,0.0-18.0-0.1-0.229,3855,8,7,low
17894,1,object_08,object_01,306.825,1,2,578.5749999,0.7777777777777778,1,object_06,5,3273,0,7,5,desert_7,2,memory-2step-stake-s,718,3515130,0.0-18.0-0.1-0.230,3855,2,1,high
17895,1,object_08,object_01,574.8600001,2,1,586.86,0.6666666666666666,2,object_04,5,3303,0,6,6,desert_19,2,memory-2step-stake-s,719,3523573,0.0-18.0-0.1-0.231,3855,2,1,high
17896,4,object_10,object_02,330.9450001,7,2,611.2650001000001,1.0,1,object_06,1,3312,0,9,8,restaurant_30,2,memory-2step-stake-s,720,3532351,0.0-18.0-0.1-0.232,3855,8,7,low
17897,1,object_01,object_08,752.41,2,2,527.23,0.7777777777777778,2,object_04,5,3347,0,8,7,desert_22,2,memory-2step-stake-s,721,3540832,0.0-18.0-0.1-0.233,3855,1,2,high
17898,3,object_05,object_03,290.175,6,1,579.525,0.6666666666666666,2,object_04,1,3353,0,6,6,library_24,2,memory-2step-stake-s,722,3549261,0.0-18.0-0.1-0.234,3855,6,5,low
17899,4,object_10,object_02,824.015,7,2,418.845,0.3333333333333333,1,object_06,5,3368,0,3,6,restaurant_25,2,memory-2step-stake-s,723,3557223,0.0-18.0-0.1-0.235,3855,8,7,low
17900,2,object_09,object_07,160.315,4,2,425.5,0.6666666666666666,2,object_04,5,3398,0,3,6,forest_9,2,memory-2step-stake-s,724,3565503,0.0-18.0-0.1-0.236,3855,3,4,high
17901,2,object_07,object_09,316.46,4,1,608.705,0.5555555555555556,2,object_04,1,3403,0,4,5,forest_16,2,memory-2step-stake-s,725,3573851,0.0-18.0-0.1-0.237,3855,4,3,high
