,state1,stim_left,stim_right,rt_1,choice1,response1,rt_2,points,state2,stim_state2,stake,score,practice,rews1,rews2,background,high_arm,trial_type,trial_index,time_elapsed,internal_node_id,subid,stim_left_num,stim_right_num
14,3,object_01,object_06,905.735,5,2,951.49,0.8888888888888888,1,object_03,5,167,0,8,6,library_4,1,memory-2step-stake-s,502,1083238,0.0-18.0-0.0-0.14,1846,6,5
15,3,object_01,object_06,1235.375,5,2,730.94,0.7777777777777778,1,object_03,5,202,0,7,4,library_5,1,memory-2step-stake-s,503,1091915,0.0-18.0-0.0-0.15,1846,6,5
16,4,object_09,object_08,1165.11,7,2,815.8,0.4444444444444444,1,object_03,5,222,0,4,4,restaurant_7,1,memory-2step-stake-s,504,1100366,0.0-18.0-0.0-0.16,1846,8,7
17,2,object_07,object_10,1130.85,4,2,854.465,0.3333333333333333,2,object_04,1,225,0,5,3,forest_11,1,memory-2step-stake-s,505,1108754,0.0-18.0-0.0-0.17,1846,3,4
18,4,object_08,object_09,1040.205,8,2,490.51,0.3333333333333333,2,object_04,5,240,0,4,3,restaurant_31,1,memory-2step-stake-s,506,1116770,0.0-18.0-0.0-0.18,1846,7,8
19,3,object_01,object_06,759.83,5,2,388.775,0.3333333333333333,1,object_03,5,255,0,3,0,library_18,1,memory-2step-stake-s,507,1124688,0.0-18.0-0.0-0.19,1846,6,5
20,2,object_10,object_07,1230.22,3,2,592.45,0.5555555555555556,1,object_03,1,260,0,5,2,forest_7,1,memory-2step-stake-s,508,1133018,0.0-18.0-0.0-0.20,1846,4,3
21,4,object_08,object_09,923.32,7,1,471.6,0.4444444444444444,1,object_03,5,280,0,4,4,restaurant_11,1,memory-2step-stake-s,509,1141139,0.0-18.0-0.0-0.21,1846,7,8
22,3,object_06,object_01,1024.56,5,1,805.12,0.3333333333333333,1,object_03,5,295,0,3,5,library_20,1,memory-2step-stake-s,510,1149477,0.0-18.0-0.0-0.22,1846,5,6
23,3,object_06,object_01,1022.905,5,1,692.96,0.3333333333333333,1,object_03,5,310,0,3,8,library_5,1,memory-2step-stake-s,511,1157707,0.0-18.0-0.0-0.23,1846,5,6
24,2,object_07,object_10,988.565,3,1,788.76,0.3333333333333333,1,object_03,5,325,0,3,8,forest_21,1,memory-2step-stake-s,512,1166030,0.0-18.0-0.0-0.24,1846,3,4
25,1,object_05,object_02,1034.245,2,2,1246.605,0.7777777777777778,2,object_04,1,332,0,5,7,desert_17,1,memory-2step-stake-s,513,1175232,0.0-18.0-0.0-0.25,1846,1,2
26,1,object_02,object_05,1003.77,1,2,462.29,0.5555555555555556,1,object_03,1,337,0,5,8,desert_25,1,memory-2step-stake-s,514,1183432,0.0-18.0-0.0-0.26,1846,2,1
27,1,object_02,object_05,872.315,1,2,712.3,0.4444444444444444,1,object_03,1,341,0,4,8,desert_28,1,memory-2step-stake-s,515,1191791,0.0-18.0-0.0-0.27,1846,2,1
28,2,object_07,object_10,875.85,4,2,850.145,0.8888888888888888,2,object_04,1,349,0,6,8,forest_26,1,memory-2step-stake-s,516,1200682,0.0-18.0-0.0-0.28,1846,3,4
29,2,object_07,object_10,695.5,3,1,921.665,0.7777777777777778,1,object_03,1,356,0,7,6,forest_30,1,memory-2step-stake-s,517,1209553,0.0-18.0-0.0-0.29,1846,3,4
30,2,object_10,object_07,983.45,3,2,1370.905,0.6666666666666666,1,object_03,1,362,0,6,9,forest_25,1,memory-2step-stake-s,518,1218771,0.0-18.0-0.0-0.30,1846,4,3
31,2,object_07,object_10,786.445,3,1,633.13,0.4444444444444444,1,object_03,1,366,0,4,6,forest_18,1,memory-2step-stake-s,519,1227045,0.0-18.0-0.0-0.31,1846,3,4
32,2,object_07,object_10,961.495,3,1,653.21,0.7777777777777778,1,object_03,1,373,0,7,5,forest_5,1,memory-2step-stake-s,520,1235650,0.0-18.0-0.0-0.32,1846,3,4
33,2,object_10,object_07,421.01,3,2,410.825,0.7777777777777778,1,object_03,1,380,0,7,1,forest_15,1,memory-2step-stake-s,521,1244017,0.0-18.0-0.0-0.33,1846,4,3
34,1,object_05,object_02,553.87,2,2,785.635,0.1111111111111111,2,object_04,1,381,0,6,1,desert_2,1,memory-2step-stake-s,522,1252139,0.0-18.0-0.0-0.34,1846,1,2
35,2,object_10,object_07,833.21,4,1,733.735,0.1111111111111111,2,object_04,1,382,0,4,1,forest_28,1,memory-2step-stake-s,523,1260214,0.0-18.0-0.0-0.35,1846,4,3
36,3,object_01,object_06,755.915,5,2,757.6,0.7777777777777778,1,object_03,1,389,0,7,0,library_21,1,memory-2step-stake-s,524,1268928,0.0-18.0-0.0-0.36,1846,6,5
37,4,object_09,object_08,-1.0,-1,-1,-1.0,0.0,-,,5,389,0,7,1,restaurant_21,1,memory-2step-stake-s,525,1275446,0.0-18.0-0.0-0.37,1846,8,7
38,3,object_06,object_01,825.275,5,1,408.635,0.5555555555555556,1,object_03,5,414,0,5,2,library_6,1,memory-2step-stake-s,526,1283611,0.0-18.0-0.0-0.38,1846,5,6
39,4,object_09,object_08,837.25,7,2,410.9,0.5555555555555556,1,object_03,5,439,0,5,4,restaurant_26,1,memory-2step-stake-s,527,1291779,0.0-18.0-0.0-0.39,1846,8,7
40,1,object_02,object_05,1246.69,1,2,722.025,0.4444444444444444,1,object_03,5,459,0,4,2,desert_10,1,memory-2step-stake-s,528,1300152,0.0-18.0-0.0-0.40,1846,2,1
41,4,object_08,object_09,728.885,7,1,528.34,0.5555555555555556,1,object_03,5,484,0,5,1,restaurant_31,1,memory-2step-stake-s,529,1308425,0.0-18.0-0.0-0.41,1846,7,8
42,4,object_09,object_08,710.565,7,2,704.125,0.8888888888888888,1,object_03,5,524,0,8,3,restaurant_30,1,memory-2step-stake-s,530,1317192,0.0-18.0-0.0-0.42,1846,8,7
43,3,object_01,object_06,787.865,5,2,764.055,0.7777777777777778,1,object_03,5,559,0,7,0,library_9,1,memory-2step-stake-s,531,1325897,0.0-18.0-0.0-0.43,1846,6,5
44,4,object_09,object_08,709.91,7,2,642.41,0.6666666666666666,1,object_03,1,565,0,6,1,restaurant_2,1,memory-2step-stake-s,532,1334398,0.0-18.0-0.0-0.44,1846,8,7
45,2,object_07,object_10,1186.025,3,1,1039.09,0.7777777777777778,1,object_03,1,572,0,7,2,forest_15,1,memory-2step-stake-s,533,1343399,0.0-18.0-0.0-0.45,1846,3,4
46,4,object_08,object_09,767.445,7,1,831.99,0.5555555555555556,1,object_03,5,597,0,5,6,restaurant_5,1,memory-2step-stake-s,534,1351976,0.0-18.0-0.0-0.46,1846,7,8
47,3,object_06,object_01,1057.055,5,1,534.38,0.6666666666666666,1,object_03,5,627,0,6,8,library_6,1,memory-2step-stake-s,535,1360364,0.0-18.0-0.0-0.47,1846,5,6
